LOCATION;INDICATOR;SUBJECT;MEASURE;FREQUENCY;TIME;Value;IntRate
JPN;LTINT;TOT;PC_PA;A;1993;4,32092;4,3209%
JPN;LTINT;TOT;PC_PA;A;1994;4,36333;4,3633%
JPN;LTINT;TOT;PC_PA;A;1995;3,44350;3,4435%
JPN;LTINT;TOT;PC_PA;A;1996;3,10150;3,1015%
JPN;LTINT;TOT;PC_PA;A;1997;2,37367;2,3737%
JPN;LTINT;TOT;PC_PA;A;1998;1,54142;1,5414%
JPN;LTINT;TOT;PC_PA;A;1999;1,74900;1,7490%
JPN;LTINT;TOT;PC_PA;A;2000;1,74442;1,7444%
JPN;LTINT;TOT;PC_PA;A;2001;1,31900;1,3190%
JPN;LTINT;TOT;PC_PA;A;2002;1,26317;1,2632%
JPN;LTINT;TOT;PC_PA;A;2003;1,00325;1,0033%
JPN;LTINT;TOT;PC_PA;A;2004;1,49267;1,4927%
JPN;LTINT;TOT;PC_PA;A;2005;1,35475;1,3548%
JPN;LTINT;TOT;PC_PA;A;2006;1,74050;1,7405%
JPN;LTINT;TOT;PC_PA;A;2007;1,66550;1,6655%
JPN;LTINT;TOT;PC_PA;A;2008;1,46733;1,4673%
JPN;LTINT;TOT;PC_PA;A;2009;1,33375;1,3338%
JPN;LTINT;TOT;PC_PA;A;2010;1,14833;1,1483%
JPN;LTINT;TOT;PC_PA;A;2011;1,10242;1,1024%
JPN;LTINT;TOT;PC_PA;A;2012;0,83558;0,8356%
JPN;LTINT;TOT;PC_PA;A;2013;0,68967;0,6897%
JPN;LTINT;TOT;PC_PA;A;2014;0,52033;0,5203%
JPN;LTINT;TOT;PC_PA;A;2015;0,35000;0,3500%
JPN;LTINT;TOT;PC_PA;A;2016;-0,06625;-0,0663%
JPN;LTINT;TOT;PC_PA;A;2017;0,05167;0,0517%
JPN;LTINT;TOT;PC_PA;A;2018;0,06500;0,0650%
JPN;LTINT;TOT;PC_PA;A;2019;-0,11042;-0,1104%
DEU;LTINT;TOT;PC_PA;A;1957;7,51667;7,5167%
DEU;LTINT;TOT;PC_PA;A;1958;6,78333;6,7833%
DEU;LTINT;TOT;PC_PA;A;1959;5,76667;5,7667%
DEU;LTINT;TOT;PC_PA;A;1960;6,42500;6,4250%
DEU;LTINT;TOT;PC_PA;A;1961;5,87500;5,8750%
DEU;LTINT;TOT;PC_PA;A;1962;5,90833;5,9083%
DEU;LTINT;TOT;PC_PA;A;1963;6,05000;6,0500%
DEU;LTINT;TOT;PC_PA;A;1964;6,23333;6,2333%
DEU;LTINT;TOT;PC_PA;A;1965;7,05000;7,0500%
DEU;LTINT;TOT;PC_PA;A;1966;8,12500;8,1250%
DEU;LTINT;TOT;PC_PA;A;1967;6,95833;6,9583%
DEU;LTINT;TOT;PC_PA;A;1968;6,45000;6,4500%
DEU;LTINT;TOT;PC_PA;A;1969;6,84167;6,8417%
DEU;LTINT;TOT;PC_PA;A;1970;8,31667;8,3167%
DEU;LTINT;TOT;PC_PA;A;1971;7,99167;7,9917%
DEU;LTINT;TOT;PC_PA;A;1972;7,87500;7,8750%
DEU;LTINT;TOT;PC_PA;A;1973;9,30833;9,3083%
DEU;LTINT;TOT;PC_PA;A;1974;10,44167;10,4417%
DEU;LTINT;TOT;PC_PA;A;1975;8,67500;8,6750%
DEU;LTINT;TOT;PC_PA;A;1976;8,03333;8,0333%
DEU;LTINT;TOT;PC_PA;A;1977;6,53333;6,5333%
DEU;LTINT;TOT;PC_PA;A;1978;6,13333;6,1333%
DEU;LTINT;TOT;PC_PA;A;1979;7,56667;7,5667%
DEU;LTINT;TOT;PC_PA;A;1980;8,42500;8,4250%
DEU;LTINT;TOT;PC_PA;A;1981;10,13333;10,1333%
DEU;LTINT;TOT;PC_PA;A;1982;8,90833;8,9083%
DEU;LTINT;TOT;PC_PA;A;1983;8,08333;8,0833%
DEU;LTINT;TOT;PC_PA;A;1984;7,95833;7,9583%
DEU;LTINT;TOT;PC_PA;A;1985;7,04167;7,0417%
DEU;LTINT;TOT;PC_PA;A;1986;6,15833;6,1583%
DEU;LTINT;TOT;PC_PA;A;1987;6,25000;6,2500%
DEU;LTINT;TOT;PC_PA;A;1988;6,49167;6,4917%
DEU;LTINT;TOT;PC_PA;A;1989;7,02500;7,0250%
DEU;LTINT;TOT;PC_PA;A;1990;8,72667;8,7267%
DEU;LTINT;TOT;PC_PA;A;1991;8,44583;8,4458%
DEU;LTINT;TOT;PC_PA;A;1992;7,83521;7,8352%
DEU;LTINT;TOT;PC_PA;A;1993;6,49646;6,4965%
DEU;LTINT;TOT;PC_PA;A;1994;6,88441;6,8844%
